product_id,ip,url,product_name
92291,99.231.18.190,https://www.glamira.ca/glamira-ring-brianna.html?alloy=red-585&diamond=diamond-Brillant&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=sorting,Glamira Ring Brianna
100016,172.58.191.164,https://www.glamira.com/glamira-ring-reyneke.html?alloy=red_white-585&diamond=diamond-sapphire&stone2=diamond-Brillant,Glamira Ring Reyneke
96616,90.61.120.163,https://www.glamira.fr/glamira-ring-cannoli.html?alloy=white-585&diamond=diamond-Brillant&stone2=diamond-Swarovsky&stone3=diamond-Brillant,Glamira Ring Cannoli
101994,178.247.24.206,https://www.glamira.com.tr/glamira-ring-jenita.html?alloy=white-585&diamond=blackdiamond&stone2=diamond-Brillant,Glamira Ring Jenita
98262,78.180.53.128,https://www.glamira.co.uk/glamira-ring-bona.html?alloy=yellow-750&diamond=kunzite,Glamira Ring Bona
96954,173.252.95.9,https://www.glamira.be/exotic-milkway-6mm.html?itm_source=recommendation&itm_medium=sorting&stone=diamond-Brillant&fbclid=IwAR1s3gNJdIKi4CQkX4w83m-DhdUnv0ZMuD8tfsRPsKRPhzCkqxV6zCuG08s&alloy=white_red-585,Exotic Milkway 6Mm
103958,31.13.115.1,https://www.glamira.sk/glamira-pendant-sinobia.html?fbclid=IwAR1qsXWns_7BtKVb3yWJVKk1BOdW1NK0JISJyYgP0sxAJCqMQB47CsQMSSg,Glamira Pendant Sinobia
91064,173.252.127.17,https://www.glamira.de/glamira-ring-alfrida-0.5-crt.html?fbclid=IwAR2bUnqCPSv0xaMSmZwxP_PZ1N1dlf8zW3r2pZ_btlICwkE_lBATEJL4Hzk,Glamira Ring Alfrida 0.5 Crt
103149,31.13.127.18,https://www.glamira.es/glamira-ring-malgosia.html?fbclid=IwAR2kT5cVRB39Lw5YN2Aj4gXrZLOexCWxnbwBuKyH2VCQO59wgh9WA02STlE,Glamira Ring Malgosia
108850,69.171.251.14,https://www.glamira.cz/shining-fortune-8-mm.html?keyword&matchtype&fbclid=IwAR2pPh0CTB0rTcqtKnNup-pOhfeA9mdiQun9Azxcw855oyqkTWqB0of3nPw&alloy=red-585,Shining Fortune 8 Mm
